Category,Question,Answer,Options
History,Who was the first president of the United States?,1,"George Washington,Thomas Jefferson,Abraham Lincoln,Benjamin Franklin"
History,In which year did the fall of the Berlin Wall occur?,2,"1987,1989,1991,1993"
History,What civilization is credited with inventing the wheel?,3,"Roman,Egyptian,Sumerian,Greek"
History,Which empire was ruled by Genghis Khan?,4,"Roman Empire,British Empire,Ottoman Empire,Mongol Empire"
History,Where did the Industrial Revolution begin?,1,"Great Britain,United States,Germany,France"
History,Who was the first woman to fly solo across the Atlantic Ocean?,2,"Amelia Earhart,Harriet Quimby,Bessie Coleman,Sally Ride"
History,In which year did World War II end?,3,"1943,1944,1945,1946"
History,What was the name of the ship that famously sank in 1912?,4,"Mayflower,USS Constitution,Queen Mary,Titanic"
History,Who discovered the Americas in 1492?,1,"Christopher Columbus,Vasco da Gama,Ferdinand Magellan,Marco Polo"
History,Which ancient civilization built the Pyramids of Giza?,2,"Romans,Greeks,Egyptians,Mayans"
Geography,What is the capital of Japan?,1,"Tokyo,Osaka,Kyoto,Sapporo"
Geography,Which country has the largest population?,2,"United States,China,India,Brazil"
Geography,What is the longest river in the world?,3,"Nile,Amazon,Yangtze,Mississippi"
Geography,Which desert is the largest in the world?,4,"Sahara,Kalahari,Gobi,Antarctic"
Geography,What country is known as the Land of the Rising Sun?,1,"Japan,China,South Korea,Thailand"
Geography,In which continent is the Sahara Desert located?,2,"Asia,Africa,Australia,South America"
Geography,Which city is known as the City of Love?,3,"New York,Venice,Paris,London"
Geography,What is the smallest country in the world?,4,"Monaco,Nauru,Tuvalu,Vatican City"
Geography,Which country has the most islands?,1,"Sweden,Canada,Finland,Indonesia"
Geography,What is the highest mountain in the world?,2,"K2,Mount Everest,Mount Kilimanjaro,Mount Elbrus"
Science,What is the chemical symbol for gold?,1,"Au,Ag,Fe,Cu"
Science,Who developed the theory of relativity?,2,"Isaac Newton,Albert Einstein,Nikola Tesla,Marie Curie"
Science,What is the hardest natural substance on Earth?,3,"Gold,Diamond,Graphite,Steel"
Science,Which planet is known as the Red Planet?,4,"Venus,Earth,Jupiter,Mars"
Science,What is the study of fungi called?,1,"Mycology,Botany,Zoology,Entomology"
Science,Which element has the highest atomic number?,2,"Uranium,Plutonium,Osmium,Iridium"
Science,Who invented the telephone?,2,"Thomas Edison,Alexander Graham Bell,Nikola Tesla,James Watt"
Science,What is the powerhouse of the cell?,4,"Nucleus,Ribosome,Endoplasmic reticulum,Mitochondria"
Science,How many bones are in the human body?,1,"206,205,208,210"
Science,What gas do plants absorb from the atmosphere for photosynthesis?,2,"Oxygen,Carbon dioxide,Nitrogen,Hydrogen"
Pop Culture,Who directed the movie "Titanic"?,1,"James Cameron,Steven Spielberg,Martin Scorsese,Ridley Scott"
Pop Culture,Which artist sang "Thriller"?,2,"Madonna,Michael Jackson,Prince,David Bowie"
Pop Culture,What is the name of Batman's butler?,1,"Alfred,Jeeves,Winston,Jarvis"
Pop Culture,Who played Jack Dawson in "Titanic"?,2,"Brad Pitt,Leonardo DiCaprio,Johnny Depp,Tom Cruise"
Pop Culture,Which TV show features the characters Ross Rachel and Monica?,1,"Friends,Seinfeld,The Office,Parks and Recreation"
